id,team_name,table_name,crop_name,states,year,area,production
1,yash_raj_productions,7_03_42,Chillies (Dried),ANDHRA PRADESH,2016,156.06,618.42
2,yash_raj_productions,7_03_42,Chillies (Dried),ANDHRA PRADESH,2017,209.35,992.9
3,yash_raj_productions,7_03_42,Chillies (Dried),ANDHRA PRADESH,2018,209.35,992.9
4,yash_raj_productions,7_03_42,Chillies (Dried),ARUNACHAL PRADESH,2016,2.96,8.29
5,yash_raj_productions,7_03_42,Chillies (Dried),ARUNACHAL PRADESH,2017,2.96,8.29
6,yash_raj_productions,7_03_42,Chillies (Dried),ARUNACHAL PRADESH,2018,2.96,8.29
7,yash_raj_productions,7_03_42,Chillies (Dried),ASSAM,2016,21.41,19.12
8,yash_raj_productions,7_03_42,Chillies (Dried),ASSAM,2017,21.63,19.38
9,yash_raj_productions,7_03_42,Chillies (Dried),ASSAM,2018,21.7,20.61
10,yash_raj_productions,7_03_42,Chillies (Dried),BIHAR,2016,2.9,3
11,yash_raj_productions,7_03_42,Chillies (Dried),BIHAR,2017,1.6,2.05
12,yash_raj_productions,7_03_42,Chillies (Dried),BIHAR,2018,1.51,2.73
13,yash_raj_productions,7_03_42,Chillies (Dried),CHHATTISGARH,2016,4.92,4.4
14,yash_raj_productions,7_03_42,Chillies (Dried),CHHATTISGARH,2017,5.06,4.32
15,yash_raj_productions,7_03_42,Chillies (Dried),CHHATTISGARH,2018,4.24,1.5
16,yash_raj_productions,7_03_42,Chillies (Dried),GUJARAT,2016,14.72,26.91
17,yash_raj_productions,7_03_42,Chillies (Dried),GUJARAT,2017,15.2,25.32
18,yash_raj_productions,7_03_42,Chillies (Dried),GUJARAT,2018,11.35,22.07
19,yash_raj_productions,7_03_42,Chillies (Dried),HARYANA,2016,2.43,4.22
20,yash_raj_productions,7_03_42,Chillies (Dried),HARYANA,2017,2.2,4
21,yash_raj_productions,7_03_42,Chillies (Dried),HARYANA,2018,2.2,4
22,yash_raj_productions,7_03_42,Chillies (Dried),HIMACHAL PRADESH,2016,0.55,0.36
23,yash_raj_productions,7_03_42,Chillies (Dried),HIMACHAL PRADESH,2017,0.6,0.24
24,yash_raj_productions,7_03_42,Chillies (Dried),HIMACHAL PRADESH,2018,0.66,0.24
25,yash_raj_productions,7_03_42,Chillies (Dried),JAMMU & KASHMIR,2016,0.62,0.35
26,yash_raj_productions,7_03_42,Chillies (Dried),JAMMU & KASHMIR,2017,0.62,0.35
27,yash_raj_productions,7_03_42,Chillies (Dried),JAMMU & KASHMIR,2018,0.62,0.35
28,yash_raj_productions,7_03_42,Chillies (Dried),KARNATAKA,2016,95.45,118.49
29,yash_raj_productions,7_03_42,Chillies (Dried),KARNATAKA,2017,102.29,103.24
30,yash_raj_productions,7_03_42,Chillies (Dried),KARNATAKA,2018,127.6,260.14
31,yash_raj_productions,7_03_42,Chillies (Dried),KERALA,2016,1.58,1.49
32,yash_raj_productions,7_03_42,Chillies (Dried),KERALA,2017,1.71,1.6
33,yash_raj_productions,7_03_42,Chillies (Dried),KERALA,2018,1.72,1.62
